ATE,Error_ATE,Error_PEHE,Problem
3.871694,0.012491,0.67843,IHDP 144
3.696711,0.184333,1.580531,IHDP 145
8.825768,0.344215,2.434893,IHDP 146
4.224584,0.092505,0.859548,IHDP 147
7.518511,0.476029,15.348177,IHDP 148
4.127271,0.08971,0.474996,IHDP 149
5.406163,0.145365,0.470253,IHDP 150
4.80784,0.121714,0.937096,IHDP 151
5.199054,0.384409,1.59592,IHDP 152
3.683946,0.19702,0.785357,IHDP 153
4.346638,0.107359,0.862092,IHDP 154
4.157805,0.112514,0.533027,IHDP 155
7.098465,0.418083,2.304537,IHDP 156
4.32887,0.031883,0.779706,IHDP 157
3.992396,0.224623,0.571711,IHDP 158
4.554703,0.50812,1.071823,IHDP 159
3.742069,0.005674,0.474573,IHDP 160
3.973986,0.133079,0.561912,IHDP 161
2.773671,0.127028,0.674771,IHDP 162
3.988841,0.018735,0.349826,IHDP 163
5.038401,0.001324,1.737142,IHDP 164
4.233397,0.051189,2.492142,IHDP 165
4.049391,0.204233,1.065737,IHDP 166
4.547101,0.159436,0.515471,IHDP 167
4.454127,0.018575,0.47945,IHDP 168
4.803743,0.06667,0.703136,IHDP 169
3.730067,0.424748,1.327027,IHDP 170
4.036561,0.068344,0.672359,IHDP 171
4.394657,0.177429,0.66142,IHDP 172
3.850795,0.15936,0.537864,IHDP 173
4.033526,0.052531,0.376152,IHDP 174
4.591759,0.129073,0.68954,IHDP 175
3.790252,0.186232,1.079471,IHDP 176
3.955224,0.336266,0.655648,IHDP 177
4.560515,0.043248,0.480731,IHDP 178
6.662647,0.45367,4.539646,IHDP 179
4.148577,0.565776,3.055884,IHDP 180
3.914757,0.216755,0.384052,IHDP 181
4.473739,0.037165,0.280917,IHDP 182
5.723733,0.361072,2.119143,IHDP 183
3.971785,0.332767,0.546052,IHDP 184
4.00889,0.07537,0.623527,IHDP 185
4.274753,0.000414,0.674937,IHDP 186
3.755724,0.12821,0.762629,IHDP 187
5.106002,0.237052,0.890647,IHDP 188
3.851978,0.088069,0.64537,IHDP 189
3.755146,0.091863,0.524496,IHDP 190
4.15721,0.09512,0.862912,IHDP 191
4.008079,0.064826,0.645207,IHDP 192
3.961347,0.251765,0.796066,IHDP 193
4.239872,0.712503,1.5609,IHDP 194
3.843686,0.057645,0.302206,IHDP 195
4.251502,0.115467,0.957472,IHDP 196
4.167695,0.430988,0.693123,IHDP 197
5.985832,0.187611,1.940646,IHDP 198
4.328186,0.54795,0.842518,IHDP 199
4.143633,0.202692,0.780654,IHDP 200
4.205082,0.082265,0.213638,IHDP 201
4.149438,0.117973,0.574689,IHDP 202
3.906648,0.015493,0.638886,IHDP 203
4.687694,0.024346,0.57377,IHDP 204
3.763087,0.053092,0.640862,IHDP 205
4.223829,0.202351,0.742213,IHDP 206
4.214217,0.165647,1.069477,IHDP 207
2.105817,0.085126,8.992978,IHDP 208
10.668377,0.470614,5.4001,IHDP 209
6.416279,0.096667,1.123434,IHDP 210
3.957768,0.260854,0.596338,IHDP 211
3.98752,0.16238,0.584544,IHDP 212
4.183823,0.398161,1.125822,IHDP 213
3.650387,0.070699,0.436942,IHDP 214
4.160511,0.297263,0.511439,IHDP 215
3.994832,0.237437,0.600144,IHDP 216
3.501728,0.049384,3.978095,IHDP 217
11.583535,3.592968,102.110293,IHDP 218
6.363932,0.010422,3.239799,IHDP 219
4.109952,0.136473,0.444192,IHDP 220
4.12308,0.391556,1.170437,IHDP 221
3.915724,0.584989,0.776156,IHDP 222
4.060095,0.041205,0.941033,IHDP 223
3.815259,0.09428,0.558149,IHDP 224
5.766492,0.0402,0.876965,IHDP 225
3.880104,0.111674,0.660296,IHDP 226
3.25426,0.187559,0.371625,IHDP 227
3.155799,0.341415,2.222941,IHDP 228
4.169478,0.347177,1.006498,IHDP 229
8.064425,0.441621,1.780987,IHDP 230
3.670616,0.087902,0.872651,IHDP 231
4.87568,0.236456,0.712496,IHDP 232
4.051584,0.095203,0.57544,IHDP 233
5.614417,0.285404,2.189403,IHDP 234
4.009805,0.132928,0.609473,IHDP 235
3.805175,0.256247,0.92614,IHDP 236
3.966719,0.037047,0.530203,IHDP 237
3.729702,0.271921,0.817896,IHDP 238
4.93983,0.195064,0.859133,IHDP 239
4.141064,0.017907,0.543074,IHDP 240
4.000115,0.012199,0.63071,IHDP 241
4.339979,0.32353,1.932177,IHDP 242
1.595204,0.062522,1.296049,IHDP 243
9.005046,0.610607,12.614218,IHDP 244
2.949293,0.09127,0.329889,IHDP 245
4.112898,0.096582,0.316662,IHDP 246
4.685198,0.183883,0.542039,IHDP 247
6.964003,0.321954,1.07328,IHDP 248
3.958428,0.097166,0.418027,IHDP 249
3.858818,0.087356,0.636467,IHDP 250
3.953482,0.045399,0.544819,IHDP 251
3.772544,0.171077,0.611806,IHDP 252
2.58521,0.00782,6.60733,IHDP 253
6.03471,0.88304,26.968852,IHDP 254
3.701896,0.173235,0.663325,IHDP 255
8.015934,0.044576,1.378366,IHDP 256
4.118776,0.041878,0.395736,IHDP 257
4.358756,0.083736,0.618454,IHDP 258
3.971818,0.104733,0.59214,IHDP 259
2.646865,0.183906,0.506716,IHDP 260
4.123776,0.107421,1.334019,IHDP 261
3.628331,0.514742,0.743851,IHDP 262
3.207476,0.032862,1.344658,IHDP 263
3.406809,0.016558,0.285721,IHDP 264
3.746296,0.285856,0.825057,IHDP 265
2.771384,0.192631,2.386101,IHDP 266
4.143977,0.393862,0.409652,IHDP 267
5.286954,0.115374,0.688192,IHDP 268
4.032261,0.188178,0.424402,IHDP 269
3.267657,0.081584,0.446269,IHDP 270
4.154091,0.292646,0.554823,IHDP 271
4.263595,0.075794,0.763296,IHDP 272
3.743914,0.361966,0.483537,IHDP 273
4.385673,0.29959,0.617136,IHDP 274
5.655607,0.071688,3.038743,IHDP 275
5.486463,0.057601,0.783566,IHDP 276
3.999168,0.012717,0.653854,IHDP 277
4.213574,0.219833,0.62625,IHDP 278
5.12422,0.465338,1.554498,IHDP 279
2.055246,0.570816,5.861233,IHDP 280
-0.076376,0.210668,3.330683,IHDP 281
7.892907,0.298322,1.47468,IHDP 282
3.896592,0.173236,0.899012,IHDP 283
4.068114,0.05968,0.379951,IHDP 284
4.088055,0.260556,1.245071,IHDP 285
4.188938,0.182191,0.545642,IHDP 286
4.784931,0.344801,0.961185,IHDP 287
3.654808,0.223597,0.722571,IHDP 288
4.163401,0.197539,0.618248,IHDP 289
4.03103,0.1795,0.658019,IHDP 290
3.465725,0.051402,2.262197,IHDP 291
5.27655,0.283778,1.620132,IHDP 292
4.124088,0.071331,0.700879,IHDP 293
3.928984,0.435457,0.736256,IHDP 294
3.024828,0.504782,2.253808,IHDP 295
